Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Цвет;Characteristics:Размер;Characteristics:Состав;Weight;Length;Width;Height
7,78414E+11;;;;"Топы и футболки;SOFT TOUCH";Футболка-туника;;;https://static.tildacdn.com/stor3430-3066-4164-b063-326362386363/24702278.jpg;;;;;;KAkgB8zx8XzHVcj3A1OL;;розовый;onesize;70% вискоза, 25% полиэстер, 5% эластан;0;0;0;0
7,19158E+11;;RE-TS-P-01;;;Футболка-туника / onesize- onesize;;;;5890.00;1;;Размеры:onesize;;rPJL9jhEcunIVCFXzeK6;7,78414E+11;;;;0;0;0;0
1,06277E+11;;;;Аксессуары;Резинка для волос;;;https://static.tildacdn.com/stor3662-6166-4336-b365-623336323136/58258737.jpg;;;;;;HdC1ZXLxJdgiFinAhTUr;;шоколадный;;;0;0;0;0
4,0466E+11;;RE-SC-BRW-01;;;Резинка для волос / Small- Small;;;https://static.tildacdn.com/stor3537-3637-4965-b165-613965386361/81314468.jpg;400.00;;;Размеры:Small;;IdESHYPsjhLSV2VhXasM;1,06277E+11;;;;0;0;0;0
4,73816E+11;;RE-SC-BRW-02;;;Резинка для волос / Big- Big;;;https://static.tildacdn.com/stor3662-6166-4336-b365-623336323136/58258737.jpg;500.00;;;Размеры:Big;;FZRRdd7IHJ0jDmRegcTT;1,06277E+11;;;;0;0;0;0
8,32947E+11;;;;Аксессуары;Резинка для волос;;;https://static.tildacdn.com/stor3632-3665-4131-b931-353732323564/90310558.jpg;;;;;;vX1yfbBJyt8Ubp5A61nv;;бордовый;;;0;0;0;0
5,14537E+11;;RE-SC-BOR-01;;;Резинка для волос / Small- Small;;;https://static.tildacdn.com/stor3931-3761-4465-a630-373732656137/20852481.jpg;400.00;;;Размеры:Small;;8pk7yvHXhhS9MtBemfRh;8,32947E+11;;;;0;0;0;0
3,54058E+11;;RE-SC-BOR-02;;;Резинка для волос / Big- Big;;;https://static.tildacdn.com/stor3632-3665-4131-b931-353732323564/90310558.jpg;500.00;;;Размеры:Big;;SpDfjlOPsoTG6UopmiNo;8,32947E+11;;;;0;0;0;0
7,2786E+11;;;;Аксессуары;Резинка для волос;;;https://static.tildacdn.com/stor6461-3362-4238-b365-343233656538/63194158.jpg;;;;;;Axz95Lte7HPtclJ6aOlv;;бежевый;;;0;0;0;0
3,47241E+11;;RE-SC-BO-01;;;Резинка для волос / Small- Small;;;https://static.tildacdn.com/stor6461-3362-4238-b365-343233656538/63194158.jpg;400.00;;;Размеры:Small;;lrGf1peZNSUJNLoJ8utb;7,2786E+11;;;;0;0;0;0
